career,skill,importance,minimum_level
Software Developer,AWS,1,0
Software Developer,Business Analysis,1,0
Software Developer,C++,4,2
Software Developer,CSS,1,0
Software Developer,Communication,1,0
Software Developer,Cybersecurity,1,0
Software Developer,DSA,4,2
Software Developer,Database Management,1,0
Software Developer,Docker,1,0
Software Developer,Excel,1,0
Software Developer,Figma,1,0
Software Developer,Git,4,2
Software Developer,HTML,1,0
Software Developer,Java,5,2
Software Developer,JavaScript,1,0
Software Developer,Kubernetes,1,0
Software Developer,Linux,1,0
Software Developer,Machine Learning,1,0
Software Developer,MySQL,1,0
Software Developer,Networking,1,0
Software Developer,Node.js,1,0
Software Developer,NumPy,1,0
Software Developer,Oracle,1,0
Software Developer,Pandas,1,0
Software Developer,Power BI,1,0
Software Developer,Python,5,2
Software Developer,React,1,0
Software Developer,SQL,4,2
Software Developer,Selenium,1,0
Software Developer,Statistics,1,0
Software Developer,TensorFlow,1,0
Software Developer,Testing,1,0
Software Developer,UI/UX,1,0
Web Developer,AWS,1,0
Web Developer,Business Analysis,1,0
Web Developer,C++,1,0
Web Developer,CSS,5,2
Web Developer,Communication,1,0
Web Developer,Cybersecurity,1,0
Web Developer,DSA,1,0
Web Developer,Database Management,1,0
Web Developer,Docker,1,0
Web Developer,Excel,1,0
Web Developer,Figma,1,0
Web Developer,Git,4,2
Web Developer,HTML,5,2
Web Developer,Java,1,0
Web Developer,JavaScript,4,2
Web Developer,Kubernetes,1,0
Web Developer,Linux,1,0
Web Developer,Machine Learning,1,0
Web Developer,MySQL,1,0
Web Developer,Networking,1,0
Web Developer,Node.js,4,2
Web Developer,NumPy,1,0
Web Developer,Oracle,1,0
Web Developer,Pandas,1,0
Web Developer,Power BI,1,0
Web Developer,Python,1,0
Web Developer,React,4,2
Web Developer,SQL,1,0
Web Developer,Selenium,1,0
Web Developer,Statistics,1,0
Web Developer,TensorFlow,1,0
Web Developer,Testing,1,0
Web Developer,UI/UX,1,0
Data Analyst,AWS,1,0
Data Analyst,Business Analysis,1,0
Data Analyst,C++,1,0
Data Analyst,CSS,1,0
Data Analyst,Communication,1,0
Data Analyst,Cybersecurity,1,0
Data Analyst,DSA,1,0
Data Analyst,Database Management,1,0
Data Analyst,Docker,1,0
Data Analyst,Excel,4,2
Data Analyst,Figma,1,0
Data Analyst,Git,1,0
Data Analyst,HTML,1,0
Data Analyst,Java,1,0
Data Analyst,JavaScript,1,0
Data Analyst,Kubernetes,1,0
Data Analyst,Linux,1,0
Data Analyst,Machine Learning,1,0
Data Analyst,MySQL,1,0
Data Analyst,Networking,1,0
Data Analyst,Node.js,1,0
Data Analyst,NumPy,1,0
Data Analyst,Oracle,1,0
Data Analyst,Pandas,4,2
Data Analyst,Power BI,4,2
Data Analyst,Python,5,2
Data Analyst,React,1,0
Data Analyst,SQL,5,2
Data Analyst,Selenium,1,0
Data Analyst,Statistics,4,2
Data Analyst,TensorFlow,1,0
Data Analyst,Testing,1,0
Data Analyst,UI/UX,1,0
Data Scientist,AWS,1,0
Data Scientist,Business Analysis,1,0
Data Scientist,C++,1,0
Data Scientist,CSS,1,0
Data Scientist,Communication,1,0
Data Scientist,Cybersecurity,1,0
Data Scientist,DSA,1,0
Data Scientist,Database Management,1,0
Data Scientist,Docker,1,0
Data Scientist,Excel,1,0
Data Scientist,Figma,1,0
Data Scientist,Git,1,0
Data Scientist,HTML,1,0
Data Scientist,Java,1,0
Data Scientist,JavaScript,1,0
Data Scientist,Kubernetes,1,0
Data Scientist,Linux,1,0
Data Scientist,Machine Learning,4,2
Data Scientist,MySQL,1,0
Data Scientist,Networking,1,0
Data Scientist,Node.js,1,0
Data Scientist,NumPy,4,2
Data Scientist,Oracle,1,0
Data Scientist,Pandas,4,2
Data Scientist,Power BI,1,0
Data Scientist,Python,5,2
Data Scientist,React,1,0
Data Scientist,SQL,5,2
Data Scientist,Selenium,1,0
Data Scientist,Statistics,4,2
Data Scientist,TensorFlow,1,0
Data Scientist,Testing,1,0
Data Scientist,UI/UX,1,0
ML Engineer,AWS,1,0
ML Engineer,Business Analysis,1,0
ML Engineer,C++,1,0
ML Engineer,CSS,1,0
ML Engineer,Communication,1,0
ML Engineer,Cybersecurity,1,0
ML Engineer,DSA,1,0
ML Engineer,Database Management,1,0
ML Engineer,Docker,1,0
ML Engineer,Excel,1,0
ML Engineer,Figma,1,0
ML Engineer,Git,4,2
ML Engineer,HTML,1,0
ML Engineer,Java,1,0
ML Engineer,JavaScript,1,0
ML Engineer,Kubernetes,1,0
ML Engineer,Linux,1,0
ML Engineer,Machine Learning,5,2
ML Engineer,MySQL,1,0
ML Engineer,Networking,1,0
ML Engineer,Node.js,1,0
ML Engineer,NumPy,1,0
